name;description;image_path;bitterness;fullness;sweetness;abv;beverageType;country;brand
This must be the haze;Aromatic hop flavor with slight sweetness, hints of light bread, passion fruit, mango, grapefruit peel and pine resin. Served at 8-10°C as a companion drink, with light meat dishes or with vegetarian dishes.;https://product-cdn.systembolaget.se/productimages/34522142/34522142_800.png;0.5;0.5;0.25;6.5;New England IPA/Hazy IPA;Sweden;Stigberget
ÖL;Malty taste with clear bitterness, hints of light bread, fresh herbs and citrus peel. Served at 8-10°C as a companion drink, or with light meat dishes.;https://product-cdn.systembolaget.se/productimages/24578195/24578195_400.png?q=75&w=2000;0.6;0.4;0.1;4.5;Light Lager;Sweden;Stigberget
Amazing Haze;Hop aromatic, fruity taste with clear bitterness, hints of passion fruit, pineapple, pine needles, apricot and grapefruit. Served at 8-10°C as a companion drink or with dishes of lamb or beef, preferably grilled.;https://product-cdn.systembolaget.se/productimages/24387844/24387844_400.png?q=75&w=2000;0.7;0.6;0.1;6.5;New England IPA/Hazy IPA;Sweden;Stigberget
American Pale Ale;Hop aromatic, nuanced flavor with clear bitterness, hints of passion fruit, orange peel, pine needles, mango, honey and grapefruit. Served at 10-12°C as a companion drink, or with lamb or beef dishes.;https://sb-product-media-prod.azureedge.net/productimages/24455503/24455503_400.png?q=75&w=2000;0.7;0.6;0.15;5.2;India Pale Ale (IPA);Sweden;Stigberget
Dubbelmås;Fruity taste with slight sweetness, hints of mango, pineapple, papaya, honey and orange. Served at 8-10°C as a companion drink or with pork or lamb dishes, or with tasty vegetarian dishes.;https://product-cdn.systembolaget.se/productimages/26907551/26907551_400.png?q=75&w=2000;0.5;0.7;0.25;8.5;Imperial IPA/Double IPA;Sweden;Stigberget
West Coast IPA;Hop aromatic, fruity taste with clear bitterness, hints of pineapple, passion fruit, honey, orange, mango and pine needles. Served at 10-12°C as a companion drink or with tasty dishes of pork, lamb or beef, preferably grilled.;https://product-cdn.systembolaget.se/productimages/24407938/24407938_400.png?q=75&w=2000;0.75;0.65;0.15;6.5;New England IPA/Hazy IPA;Sweden;Stigberget
Cake;Tasty, sweet beer with hints of barrel, chocolate cake, roasted nuts, rum raisin, coffee, marzipan and vanilla. Served at 12-14°C as a companion drink, or with chocolate desserts.;https://product-cdn.systembolaget.se/productimages/32124191/32124191_400.png?q=75&w=2000;0.6;0.8;0.7;12.0;Porter & Stout;Sweden;Stigberget
Juleljus NEIPA;Hop aromatic taste with clear bitterness and slight sweetness, hints of grapefruit, pineapple, pine needles, honey and sponge cake. Served at 8-10°C as a companion drink or with dishes of pork, lamb or beef.;https://product-cdn.systembolaget.se/productimages/24410214/24410214_400.png?q=75&w=2000;0.6;0.6;0.25;6.8;New England IPA/Hazy IPA;Sweden;Stigberget
Norrlands Guld Export;Malty flavor with hints of citrus, herbs and crisp bread. Served at 8-10°C as a companion drink or with dishes of fish or light meat.;https://product-cdn.systembolaget.se/productimages/310574/310574_400.png?q=75&w=2000;0.4;0.4;0.15;5.3;Light Lager;Sweden;Spendrups
Norrlands Djup;Bready flavor with sweetness, hints of banana and citrus peel. Served at around 8°C as a companion drink or with dishes of pork, lamb or beef.;https://product-cdn.systembolaget.se/productimages/507940/507940_400.png?q=75&w=2000;0.4;0.65;0.3;6.8;Light Lager;Sweden;Spendrups
Norrlands Ljus;Malty taste with hints of light bread, citrus peel and herbs. Served at 8-10°C as a companion drink or with dishes of fish or light meat.;https://product-cdn.systembolaget.se/productimages/494047/494047_400.png?q=75&w=2000;0.3;0.3;0.05;4.7;Light Lager;Sweden;Spendrups
